,Location,Area,Security,Bedrooms,Price
640,Kukatpally,1675,0,3,10200000
641,other,1725,0,3,10000000
642,Kondapur,1770,1,3,10700000
643,Jubilee Hills,3200,0,3,24000000
644,Jubilee Hills,1900,0,3,22000000
645,Kondapur,1880,0,3,21400000
646,Kondapur,2050,0,3,16000000
647,Nanakramguda,3600,1,3,36500000
648,other,2665,0,3,15000000
649,Kukatpally,1216,0,2,8500000
650,Banjara Hills,3031,0,4,28000000
651,Kokapet,2220,0,3,15500000
652,Gachibowli,3448,0,3,32500000
653,Madhapur,3015,0,3,20700000
654,Gachibowli,1430,0,3,10500000
655,other,2007,0,5,28000000
656,Kukatpally,1695,0,3,10300000
657,Kondapur,1815,1,3,11000000
658,Kondapur,1630,1,3,9991000
659,Chandanagar,1620,0,3,8014000
660,other,1200,0,2,4000000
661,West Marredpally,1650,0,2,12500000
662,Kukatpally,1550,0,3,8925000
663,Kondapur,1535,1,3,9296000
664,Kondapur,1165,1,2,7598999
665,Malkajgiri,1400,0,3,8500000
666,other,2600,0,3,20000000
667,Miyapur,1100,0,2,5250000
668,Malkajgiri,1010,0,2,4000000
669,Kondapur,1195,1,2,7500000
670,Kukatpally,970,1,2,5253000
671,Kompally,1050,0,2,5800000
672,Alwal,1130,0,2,5085000
673,other,2300,0,3,12000000
674,Alwal,1015,0,2,3500000
675,Shaikpet,2960,1,4,25500000
676,Mallapur,1190,0,2,6500000
677,Mallapur,1190,0,2,6000000
678,Puppalaguda,1340,0,2,6700000
679,Shaikpet,1875,1,3,16000000
680,Jubilee Hills,1900,1,3,23000000
681,West Marredpally,1920,0,4,19500000
682,Alwal,1330,0,2,5320000
683,Hitech City,2350,1,3,19500000
684,Pragathi Nagar Kukatpally,1120,0,2,4800000
685,Madhapur,1924,0,3,13000000
686,other,1575,0,3,10200000
687,Hitech City,2350,1,3,19500000
688,other,3000,0,4,20000000
689,other,1350,0,3,5900000
690,Puppalaguda,1580,0,3,8500000
691,Malkajgiri,1200,0,2,6000000
692,Gajularamaram,1050,0,2,4710000
693,Kukatpally,1090,0,2,7317000
694,Kukatpally,1730,0,3,11399999
695,Kondapur,1535,1,3,9449000
696,Kukatpally,1700,0,3,11299999
697,Alwal,1050,0,2,4000000
698,Alwal,1300,0,2,5450000
699,Kondapur,1770,1,3,10600000
700,Alwal,1050,0,2,4000000
701,Alwal,1300,0,2,5450000
702,Kondapur,1770,1,3,10600000
703,Kompally,1430,0,3,7500000
704,Kukatpally,1800,0,3,12400000
705,Alwal,1530,0,3,7800000
706,Miyapur,1000,0,2,4800000
